ACAP,0.5,0.33,0.825,0.40,,,,0.93,0.18,1.85,0.00,26.384,12.84,42.56,-7.71,-52.37,2.57,134.12,0.33,0,0,0.00,0.000,0.000,#DIV/0!,-3.412,28.183,38.446,29.160,0.158,-0.141,-2.333,1.584,12.468,,0.000,-2.884,,0.000,212.455,0.158,136.295,64.153,0.335,0.984,59.134,6.616,4.765,0.251,100.000,0.000,22.889,54.400,,,0.770,0.290,-57.143,13.793,0.750,-56.000,0.330,0.000,989.330,0.000,0.330,0.500,406.412,347.719,335.122,134.049,27-02-20,,,0.000,0.000,0.000,0.000,0.000,30-06-25,2,2.268,5.185,0.000,757.321,764.774,79.123,14.639,1830.285,2688.821,0.000,29.717,1780.642,1810.359,126.319,1936.678,0.000,203.206,101.851,752.143,53.522,0.000,62.423,115.945,160.977,17.798,0.000,178.775,-62.830,0.000,-2.112,-60.718,0.000,-0.299,0.825,0.000,0.000,-0.076,-0.073,28.446,0.000,32.677,-2.023,0.000,-18.102,-15.721,2.268,335.122,335.122,265.161,356.040,-97.426,-226.253,-355.322,-190.530,61.875,255.416,,26.384,-25.525,465.445,56.939,36.325,-86.491,-407.928,-75.775,0.825,0.825,0.652,0.876,-0.308,-0.715,-1.123,-0.602,0.180,0.720,0.730,-0.100,-0.170,-0.440,-0.275,1.559,0.885,0.450,99.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.837,12.837,9.785,12.445,-2.845,-4.822,-9.384,-4.516,1.814,6.900,5.823,-2.615,-5.390,-11.535,-5.890,14.049,6.075,2.572,0.000,31.196,-21.376,537.502,41.008,48.615,-107.790,-348.972,-73.711,18.498,322.669,51.484,53.274,-95.843,-141.925,131.243,136.220,42.563,42.563,43.248,168.726,-146.929,-99.707,-49.565,-16.460,5.013,22.727,25.323,-3.659,-5.983,-12.579,-6.263,46.955,29.568,13.499,0.000,-1.584,-74.368,214.835,-47.360,-101.166,-201.127,-428.318,-77.941,-10.252,792.135,38.845,52.437,-100.850,-113.337,58.804,119.046,#DIV/0!,#DIV/0!,-2.173,26.902,"Wednesday, December 14, 2005",0.000,0.000,0.000,#N/A,ACAP ปิด 0.33 P/E  .4  Chg% -56.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,0.25,0.39,-0.055,-7.16,,,,0.00,0.97,0.40,0.00,-20.245,-4.20,-12.97,-9.15,-23.08,1.89,733.33,0.39,"16,924",660,0.00,11.111,0.000,-44.656,-0.644,-19.666,-2.929,-22.022,-0.044,0.031,12.561,0.557,403.323,4.805,3236000.000,-0.149,,0.000,408.404,0.353,-96.431,-23.612,-0.051,-7.605,1.752,1.229,0.756,-0.034,22.222,-5.051,-9.841,76.070,,32.807,1.370,0.410,-67.883,7.317,1.130,-61.062,0.440,1.860,3004.730,0.000,0.000,0.250,1880.336,-92.681,-102.491,0.000,28-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,418.607,436.530,68.613,218.494,1142.244,61.809,48.882,1058.775,2311.710,118.847,529.286,605.691,1253.824,168.275,1422.099,0.000,470.084,-64.662,754.371,306.303,0.953,6.072,313.328,266.755,112.306,5.865,384.926,-71.598,11.616,1.569,-72.323,-12.460,-0.051,-0.055,0.000,-0.010,-0.013,-0.011,97.863,0.000,-61.618,1.420,-0.034,14.266,361.517,418.607,-102.491,-102.491,-85.235,-71.470,169.517,-75.780,-69.204,-56.865,-39.268,-52.764,,-20.245,-19.260,-142.161,323.697,-9.502,-21.700,-44.810,25.577,-0.055,-0.055,-0.061,-0.053,0.120,-0.060,-0.052,-0.042,-0.030,-0.044,-0.019,-0.156,0.011,0.064,-0.012,0.137,-0.100,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.215,0.000,0.000,-4.203,-4.203,-6.145,-10.629,18.819,-3.450,-3.862,-1.676,0.322,0.791,3.203,-17.185,1.744,7.134,-1.120,13.268,-10.174,-9.306,0.000,31.605,42.187,-156.482,645.521,10.680,-130.464,-620.596,-59.283,-75.318,118.639,"-1,085.513",-75.556,737.181,-108.438,230.413,-9.333,-12.965,-12.965,-12.055,-11.469,29.455,-14.328,-10.878,-7.739,-5.305,-7.091,-2.854,-18.182,1.176,6.811,-1.193,14.056,-11.122,-10.559,0.000,-7.550,-5.111,-138.936,305.583,-31.709,-40.555,-45.897,25.194,-148.498,84.305,"-1,646.528",-82.738,670.730,-108.490,226.378,-5.328,#DIV/0!,#DIV/0!,0.927,-1.758,"Tuesday, March 23, 1993",0.000,0.000,0.000,#N/A,ACC ปิด 0.39 P/E -7.16 Chg% -61.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE,0.5,1.29,0.072,17.81,,,1.90,0.18,0.81,1.59,2.25,-12.105,4.33,4.57,3.63,11.87,0.59,"13,127.04",1.29,"14,192","1,837",-1.53,33.333,-33.333,6.199,1.516,33.871,10.565,3.532,0.219,0.016,82.881,0.499,68.598,4.633,405400.000,-0.546,,40.000,6555.668,0.508,780.925,11.912,0.077,16.810,9.742,2.538,0.934,0.695,50.000,4.545,1.859,23.660,,23.274,2.720,1.410,-43.750,8.511,2.680,-42.910,1.530,7.660,41036.210,0.000,0.029,0.500,10176.000,1102.167,737.192,294.877,28-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,1347.475,1241.828,998.312,358.297,3945.913,0.000,16092.977,5791.729,25830.620,45.000,477.103,1437.951,1960.055,7546.053,9506.107,0.000,5088.000,7071.342,16202.988,4916.751,0.000,16.302,4933.053,3541.812,386.402,73.954,4002.168,930.884,253.640,93.775,585.694,-2.224,0.077,0.072,0.000,0.020,0.010,0.022,684.277,0.000,1670.899,-468.783,-22.070,-723.279,-122.749,1347.475,737.192,737.192,838.717,1072.511,1281.980,1505.681,1507.641,815.306,546.566,333.526,,-12.105,-21.799,-16.339,-14.857,-0.130,84.917,49.169,63.875,0.072,0.072,0.080,0.110,0.130,0.150,0.150,0.090,0.060,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.246,2.212,0.000,0.000,0.000,0.571,1.319,0.000,0.000,0.000,,,,,,,,,4.327,4.327,5.117,6.351,7.762,9.948,10.836,8.740,7.503,5.796,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-15.444,-19.422,-18.184,-21.971,-8.198,23.986,16.487,29.448,,,,,,,,,4.573,4.573,5.370,7.315,9.344,11.899,13.233,9.964,10.319,6.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-14.846,-26.585,-21.709,-21.473,-10.083,32.806,-3.434,55.376,,,,,,,,,#DIV/0!,#DIV/0!,1.251,6.651,"Wednesday, November 13, 2019",2.212,0.000,0.557,#N/A,ACE ปิด 1.29 P/E 17.81 Chg% -42.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,0.5,0.59,0.053,11.04,,,,0.17,0.49,1.20,6.04,34.063,5.02,4.46,3.45,2.47,0.62,354.00,0.59,12,1,0.00,66.667,11.977,-89.474,0.217,6.498,9.763,3.764,0.145,0.059,9.941,3.745,11.631,10.087,0.000,-0.273,,66.725,1325.831,2.268,33.080,2.495,0.055,10.701,2.774,1.949,0.741,0.218,57.143,15.966,0.988,24.810,,62.374,1.760,1.120,-25.000,17.857,1.510,-12.583,1.320,0.000,99.810,0.027,0.036,0.500,600.000,60.822,32.067,21.397,25-02-25,06-05-25,20-05-25,0.027,4.508,1.000,0.027,4.508,30-09-25,3,127.598,47.652,104.528,1.109,280.887,0.000,567.115,321.154,1169.156,180.683,68.665,18.183,267.532,177.278,444.809,0.000,300.000,130.712,722.290,994.373,0.000,9.998,1004.371,841.905,114.160,0.000,956.065,48.307,11.685,11.687,24.810,0.125,0.055,0.053,0.000,0.013,0.011,0.018,43.372,0.000,65.269,1.120,-1.044,0.385,-103.927,127.598,32.067,32.067,23.919,17.303,15.806,27.960,34.826,52.996,27.412,0.000,,34.063,38.240,9.468,-43.469,-19.716,-34.285,93.329,,0.053,0.053,0.040,0.029,0.026,0.047,0.060,0.100,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.044,5.846,2.989,1.008,0.881,0.532,3.704,3.883,0.000,0.000,0.000,,,,,,,,5.024,5.024,4.615,4.223,3.771,4.302,4.903,6.913,5.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.870,9.282,11.978,-12.333,-12.274,-29.073,29.840,,,,,,,,,,4.463,4.463,3.393,2.518,2.352,4.211,5.293,10.222,7.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.545,34.742,7.068,-44.149,-20.446,-48.222,43.108,,,,,,,,,,#DIV/0!,#DIV/0!,0.380,3.181,"Thursday, June 27, 2019",5.846,0.532,2.251,#N/A,ACG ปิด 0.59 P/E 11.04 Chg% -12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADB,0.5,0.59,0.097,6.06,,,,0.16,0.67,0.89,6.87,106.449,9.86,11.05,3.69,3.59,0.50,428.34,0.59,491,29,0.00,80.000,0.000,-55.980,0.429,6.123,6.313,5.015,0.074,0.068,8.658,1.963,115.566,5.869,135200.000,0.132,,41.667,840.724,1.746,31.461,3.742,0.043,13.615,8.221,1.326,0.440,0.078,40.000,-5.455,4.879,47.700,,62.470,1.510,0.930,-30.464,12.903,1.270,-17.323,1.050,16.560,666.680,0.020,0.041,0.500,726.000,99.448,70.655,29.440,25-02-25,28-04-25,16-05-25,0.020,3.390,1.000,0.020,3.390,30-09-25,3,52.105,240.728,122.408,0.000,415.241,334.448,188.495,24.823,963.007,165.198,92.224,25.973,283.395,35.827,319.222,0.000,363.000,56.294,643.786,630.543,17.133,9.637,657.312,571.206,54.973,0.000,626.178,31.134,5.949,1.541,23.596,0.048,0.043,0.097,0.000,0.012,0.021,0.015,19.413,0.000,40.248,-10.664,0.000,-10.627,-68.706,52.105,70.655,70.655,34.224,-46.706,-6.934,75.684,69.661,3.263,13.028,29.045,,106.449,173.275,-573.557,-109.162,8.646,2034.778,-74.952,-55.147,0.097,0.097,0.048,-0.064,-0.010,0.095,0.096,0.004,0.018,0.054,0.149,0.068,0.000,0.000,0.000,0.000,0.000,0.000,6.873,6.758,2.174,0.000,0.000,5.386,10.663,1.538,1.266,1.515,,,0.000,,,,,,9.863,9.863,-0.045,-1.731,0.500,7.617,7.702,1.398,2.222,4.025,10.687,6.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"21,994.033",97.397,-446.194,-93.436,-1.104,451.097,-37.104,-44.791,-62.337,65.140,,,,,,,11.052,11.052,5.540,-7.507,-1.045,11.391,11.357,0.559,2.226,6.583,26.544,12.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.477,173.802,-618.447,-109.173,0.297,"1,931.213",-74.877,-66.191,-75.201,110.029,,,,,,,#DIV/0!,#DIV/0!,1.165,2.010,"Thursday, November 9, 2017",6.758,0.000,2.864,#N/A,ADB ปิด 0.59 P/E 6.06 Chg% -17.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,0.5,3.52,0.161,21.80,,,,0.20,1.14,3.08,0.00,37.154,5.00,5.34,6.25,10.98,0.21,591.36,3.52,147,52,-4.86,72.222,-16.667,-1.606,0.766,17.890,12.453,1.427,0.411,0.894,3.937,0.644,34.010,,200.000,0.716,,80.000,380.722,1.211,42.341,11.121,0.252,13.967,4.931,3.744,0.645,-0.027,69.231,5.594,1.006,41.810,,63.942,13.400,5.550,-55.597,7.207,10.200,-41.667,5.950,0.340,9028.160,0.100,0.129,0.500,168.000,30.490,27.124,21.699,13-11-25,27-11-25,15-12-25,0.100,2.841,3.000,0.360,10.227,30-09-25,3,119.929,10.950,0.000,97.745,228.624,207.509,3.988,188.822,628.943,0.000,77.094,8.734,85.828,22.523,108.351,0.000,84.000,-4.454,516.608,285.541,0.000,3.759,289.300,188.227,41.436,22.767,252.430,36.870,0.176,5.023,31.756,-0.085,0.252,0.161,0.000,0.099,0.046,0.045,2.417,0.000,51.757,-0.536,-0.262,43.382,-44.561,119.929,27.124,27.124,19.776,31.162,45.716,98.747,72.365,39.505,0.000,0.000,,37.154,-36.538,-31.835,-53.704,36.456,83.182,,,0.161,0.161,0.120,0.195,0.290,0.680,0.600,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.669,3.938,6.429,2.857,3.301,0.921,0.000,0.000,0.000,,,,,,,,,,5.000,5.000,3.841,5.653,8.571,27.305,53.488,31.808,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.157,-32.052,-34.039,-68.611,-48.951,68.159,,,,,,,,,,,5.340,5.340,3.780,5.791,8.476,30.841,81.882,45.832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.291,-34.736,-31.674,-72.518,-62.334,78.658,,,,,,,,,,,#DIV/0!,#DIV/0!,1.915,5.847,"Thursday, May 20, 2021",6.429,0.921,3.489,#N/A,ADD ปิด 3.52 P/E 21.8  Chg% -41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANC,1,351.00,14.410,24.36,,,317.65,34.94,11.20,31.34,3.69,22.189,14.14,45.01,35.29,19.96,3.44,"1,043,947.71",351.00,"85,568","2,989,157",2.33,92.105,8.107,47.661,2.274,51.936,32.093,2.365,39.195,23.742,14.784,0.213,30.670,30.700,3960740.000,-93.943,ADVANC,89.992,222288.512,1.073,44805.696,20.157,15.065,23.299,68.578,139.316,107.938,22.776,82.979,4.133,1.238,36.230,,74.421,228.000,194.500,-4.825,11.568,194.500,11.568,217.000,37.090,584457.850,6.890,12.968,1.000,2974.210,59776.066,42858.366,38568.894,06-08-25,19-08-25,03-09-25,6.890,1.963,2.000,10.610,3.023,30-09-25,3,15222.730,18440.592,4096.219,3863.268,41622.809,13068.716,118936.120,240727.107,414354.752,54902.340,41697.904,26050.689,122650.933,198378.154,321029.087,0.000,2974.210,67739.654,93225.702,166716.384,803.557,822.379,168342.320,105485.350,14777.646,117.174,120380.170,47962.150,6057.870,8300.242,33604.272,-0.234,15.065,14.410,0.000,4.050,3.690,3.560,44143.626,0.000,87430.391,-17581.082,-23114.150,-41399.714,-53414.262,15222.730,42858.366,42858.366,35075.357,29086.105,26011.284,26922.146,27434.360,31189.571,29682.178,30077.312,,22.189,20.591,11.821,-3.383,-1.867,-12.040,5.078,-1.314,14.410,14.410,11.790,9.780,8.750,9.050,9.227,10.490,9.984,10.116,10.315,13.169,12.119,12.201,11.730,7.480,6.930,5.760,3.695,4.143,3.697,3.968,3.944,3.343,3.932,3.446,4.104,3.707,6.857,8.546,4.781,6.090,5.215,6.000,15.200,13.064,14.135,14.135,11.797,10.649,10.793,10.906,12.017,14.540,14.196,14.729,17.533,33.179,39.945,44.358,49.783,41.682,28.558,20.647,0.000,19.817,10.781,-1.334,-1.037,-9.240,-17.355,2.420,-3.618,-15.991,-47.155,-16.939,-9.949,-10.897,19.434,45.955,38.320,45.008,45.008,37.354,33.003,31.079,34.238,37.885,49.200,55.048,64.760,67.440,82.316,77.911,81.422,84.456,55.247,36.436,23.600,0.000,20.490,13.185,6.189,-9.227,-9.625,-22.998,-10.623,-14.997,-3.974,-18.073,5.655,-4.313,-3.592,52.869,51.630,54.386,#DIV/0!,#DIV/0!,0.394,36.611,"Tuesday, November 5, 1991",4.143,3.343,3.819,#N/A,ADVANC ปิด 351 P/E 24.36 Chg% 11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVICE,0.5,5.60,0.377,14.87,,,6.55,0.66,3.72,1.51,5.72,0.464,9.44,24.93,21.79,1.66,2.67,"3,472.00",5.60,"7,015","3,952",-0.88,12.500,-3.704,-60.332,0.202,2.786,16.550,4.697,0.737,0.412,13.600,4.719,8.982,8.221,0.000,0.070,,85.061,16382.917,9.555,272.215,1.662,0.439,12.755,25.565,5.531,4.026,0.250,41.667,1.667,2.896,31.070,,20.119,0.000,0.000,#DIV/0!,#DIV/0!,3.240,0.000,3.240,0.000,0.000,0.165,0.320,0.500,620.000,302.982,233.532,198.644,11-08-25,27-08-25,05-09-25,0.165,2.946,2.000,0.325,5.804,30-09-25,3,135.809,446.112,1957.048,0.000,2538.969,0.000,558.293,332.098,3429.360,63.956,2199.097,25.611,2288.664,207.161,2495.825,0.000,310.000,155.184,933.535,12287.188,0.000,7.374,12294.562,11025.109,1009.324,0.000,12034.433,260.129,5.817,50.151,204.161,0.000,0.439,0.377,0.000,0.106,0.121,0.102,105.719,0.000,342.523,-101.853,-19.165,-120.500,-276.905,135.809,233.532,233.532,232.453,170.248,205.673,0.000,0.000,0.000,0.000,0.000,,0.464,36.538,-17.224,,,,,,0.377,0.377,0.382,0.378,0.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.721,5.477,5.417,2.160,0.000,0.000,,,,,,,,,,,,,9.438,9.438,10.530,9.254,10.739,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.372,13.789,-13.834,,,,,,,,,,,,,,24.927,24.927,37.164,54.781,66.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-32.926,-32.159,-17.225,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#N/A,45.763,"Tuesday, January 30, 2024",5.477,0.000,2.611,#N/A,ADVICE ปิด 5.6 P/E 14.87 Chg%  .  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,0.5,0.09,-0.030,-3.04,,,,0.00,0.22,0.42,0.00,5.922,-3.49,-6.97,-4.33,-10.96,0.39,462.88,0.09,"16,030",147,0.00,50.000,0.000,-46.096,-0.529,2.281,1.288,17.857,0.005,0.003,32.325,2.417,50.123,58.969,765400.000,-0.123,,0.000,1118.677,0.621,-126.184,-11.280,-0.025,-3.668,31.261,0.700,0.163,-0.068,50.000,0.000,-5.316,67.810,,52.259,0.880,0.370,-54.545,8.108,0.790,-49.367,0.400,4.290,153949.920,0.000,0.000,0.500,5143.072,-126.848,-152.235,0.000,27-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,14.807,161.802,11.671,13.885,202.165,296.031,658.074,2445.276,3601.546,224.846,108.591,0.002,333.439,503.037,836.476,0.000,2571.536,-348.456,2135.715,839.008,0.000,24.705,863.713,747.460,178.815,27.062,953.337,-89.624,16.893,-1.462,-94.638,-10.417,-0.025,-0.030,0.000,-0.006,-0.007,-0.005,119.802,0.000,19.702,-15.182,-3.178,13.374,-37.825,14.807,-152.235,-152.235,-161.818,-179.792,-101.024,280.584,117.444,86.613,-79.529,-211.192,,5.922,9.997,-77.969,-136.005,138.908,35.597,208.907,62.343,-0.030,-0.030,-0.031,-0.035,-0.020,0.060,0.040,0.029,-0.027,-0.095,-0.087,-0.205,-0.400,0.110,1.780,-1.154,0.123,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.634,-3.489,-3.489,-4.227,-4.970,-2.459,7.133,6.186,5.274,-3.519,-12.777,-11.560,-29.983,-15.452,11.106,41.175,-10.118,4.852,5.603,0.000,17.474,14.936,-102.099,-134.473,15.305,17.294,249.877,72.458,-10.524,61.444,-94.047,-239.131,-73.028,506.948,-308.551,-13.415,-6.966,-6.966,-6.986,-7.236,-3.882,12.147,6.850,6.257,-6.706,-21.760,-16.668,-65.220,-198.175,32.422,160.846,-45.604,3.930,7.779,0.000,0.291,3.450,-86.416,-131.956,77.322,9.480,193.298,69.181,-30.552,74.443,67.090,-711.245,-79.843,452.701,"-1,260.377",-49.480,#DIV/0!,#DIV/0!,#N/A,-6.267,"Wednesday, April 3, 2002",0.000,0.000,0.000,#N/A,AE ปิด 0.09 P/E -3.04 Chg% -49.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEONTS,1,97.75,12.314,7.94,,,146.90,17.61,0.92,106.05,6.06,7.629,4.30,11.71,5.95,14.39,2.40,"24,437.50",97.75,"3,772","36,725",0.77,21.875,2.133,-52.760,0.382,27.736,11.870,10.607,20.439,-468.785,-0.209,0.875,1405.595,,38510.000,61.429,,48.071,21389.451,0.470,2949.149,13.788,11.797,8.286,6.363,364.085,254.107,86.232,46.939,10.707,1.950,30.950,,48.237,206.000,146.000,-22.330,9.589,187.500,-14.667,160.000,15.940,101730.300,2.550,5.920,1.000,250.000,3924.372,3078.551,1479.894,08-10-25,21-10-25,06-11-25,2.550,2.609,2.000,5.500,5.627,31-08-25,2,3840.728,81948.259,0.000,-6905.007,78883.980,0.000,652.281,11485.045,91021.306,16232.766,260.051,7816.445,24309.262,39217.476,63526.738,0.000,250.000,21557.978,26512.298,10600.175,0.000,266.471,10866.646,1074.151,4097.806,3679.432,8851.389,2015.257,0.000,421.951,1563.380,29.926,12.507,12.314,0.000,0.000,3.170,3.088,478.284,0.000,3014.006,-142.176,-141.067,-350.351,-2313.367,3840.728,3078.551,3078.551,2860.344,3258.785,3815.145,3553.041,3689.643,3975.357,3506.487,2966.331,,7.629,-12.227,-14.583,7.377,-3.702,-7.187,13.372,18.210,12.314,12.314,11.441,13.035,15.261,14.212,14.759,15.901,14.026,11.865,9.614,9.785,9.670,10.006,6.754,0.644,3.836,3.937,6.056,5.507,4.297,3.438,3.022,2.732,1.305,2.618,2.582,3.720,3.333,3.584,1.705,3.670,7.258,10.526,6.563,6.774,4.301,4.301,4.183,4.434,5.332,5.143,5.085,5.636,5.282,4.842,4.203,4.566,4.843,5.620,4.977,1.090,3.518,3.564,0.000,2.820,-5.658,-16.840,3.668,1.148,-9.788,6.707,9.083,15.209,-7.949,-5.722,-13.817,12.908,356.812,-69.033,-1.267,11.714,11.714,11.323,13.781,17.865,19.233,19.529,20.501,20.754,20.168,18.704,21.779,18.907,30.951,25.233,2.607,15.866,17.528,0.000,3.452,-17.837,-22.861,-7.114,-1.515,-4.740,-1.220,2.905,7.829,-14.120,15.193,-38.915,22.662,867.975,-83.570,-9.483,#DIV/0!,#DIV/0!,1.243,13.671,"Tuesday, December 11, 2001",5.507,2.732,3.799,#N/A,AEONTS ปิด 97.75 P/E 7.94 Chg% -14.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,0.25,0.31,0.006,55.17,,,,0.01,0.95,0.33,1.45,-46.297,0.49,1.73,1.42,3.99,3.66,496.00,0.31,317,10,3.33,71.429,19.048,-43.352,0.085,-30.469,-3.023,-26.185,-0.047,-0.019,-16.434,0.496,3203.038,,0.000,0.225,,80.000,245.789,0.201,9.873,4.017,0.006,50.236,7.898,1.528,1.200,0.006,50.000,3.846,0.077,22.020,,90.547,1.240,0.760,-37.903,1.316,1.150,-33.043,0.770,0.000,1383.000,0.000,0.004,0.250,1600.000,11.805,8.991,7.193,18-02-25,,,0.000,0.000,0.000,0.020,6.452,30-09-25,3,62.801,2215.389,0.000,1.915,2280.105,0.000,3.873,160.253,2444.231,1743.932,0.000,119.574,1863.506,56.136,1919.642,0.000,400.000,10.130,524.589,184.342,0.000,1.150,185.492,55.575,87.498,33.479,176.552,8.940,0.000,1.535,7.405,0.000,0.006,0.006,0.000,-0.001,0.003,0.003,8.385,0.000,-56.518,-0.312,-2.335,-2.647,17.254,62.801,8.991,8.991,16.742,6.818,45.261,49.516,42.713,42.159,48.922,53.270,,-46.297,145.534,-84.935,-8.595,15.928,1.315,-13.825,-8.161,0.006,0.006,0.010,0.004,0.028,0.031,0.027,0.026,0.031,0.033,0.032,0.000,0.031,0.081,0.055,0.100,0.115,0.095,1.450,1.362,2.857,0.000,0.000,2.174,2.958,3.846,4.615,3.920,9.636,1.923,3.145,6.211,6.897,18.519,0.000,11.161,0.487,0.487,0.850,0.387,2.418,2.878,2.126,1.923,1.961,2.199,2.781,0.520,1.381,2.932,2.849,3.142,3.715,3.495,0.000,-42.759,119.922,-84.009,-15.976,35.378,10.571,-1.980,-10.808,-20.922,434.643,-62.331,-52.907,2.927,-9.343,-15.420,6.285,1.726,1.726,3.190,1.289,8.569,9.414,8.139,7.995,9.131,9.821,9.137,0.031,7.056,18.743,13.173,18.316,21.058,19.011,0.000,-45.893,147.509,-84.959,-8.974,15.666,1.796,-12.442,-7.026,7.486,"28,991.704",-99.555,-62.354,42.281,-28.078,-13.024,10.772,#DIV/0!,#DIV/0!,0.776,3.693,"Wednesday, August 25, 2004",2.857,0.000,1.279,#N/A,AF ปิด 0.31 P/E 55.17 Chg% -33.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
